"courseSectionExternalId","staffExternalId"
"HIST179  PO-01 SP2023","10361342"
"HIST192  PO-04 SP2023","10158431"
"HMSC134  SC-01 SP2023","20252486"
"HSA 010  HM-01 SP2023","40005441"
"HSA 010  HM-07 SP2023","40160090"
"IR  118  PO-01 SP2023","10022550"
"ITAL002  SC-01 SP2023","20187989"
"JAPN001B PO-02 SP2023","10043346"
"KORE002  CM-01 SP2023","30087465"
"KORE002  CM-02 SP2023","30087465"
"KORE044  CM-01 SP2023","30378925"
"LAST191  PO-04 SP2023","10023055"
"LGCS114  PO-01 SP2023","10351654"
"LIT 163  AF-02 SP2023","30182015"
"MATH052  PZ-01 SP2023","50461070"
"MATH131  HM-01 SP2023","40043656"
"MATH131  HM-02 SP2023","40005442"
"MATH138  PO-01 SP2023","10364360"
"MATH158  PO-01 SP2023","10148564"
"MATH181  PO-01 SP2023","10029204"
"MATH197  HM-07 SP2023","40209189"
"MATH197  HM-10 SP2023","40164164"
"MATH197  HM-11 SP2023","40005499"
"MOBI191A PO-64 SP2023","10306332"
"MOBI194B PO-34 SP2023","10271196"
"MS  099  PZ-01 SP2023","50362674"
"MS  132  SC-01 SP2023","20256624"
"MUS 031  PO-01 SP2023","10008674"
"MUS 035  PO-01 SP2023","10002382"
"MUS 041  PO-01 SP2023","10043286"
"MUS 082  PO-01 SP2023","10042136"
"MUS 096B PO-01 SP2023","10011057"
"MUS 110B SC-01 SP2023","20042136"
"MUS 120  SC-01 SP2023","20042861"
"MUS 170H SC-02 SP2023","20276816"
"NEUR101BLPO-01 SP2023","10041942"
"NEUR118  PO-01 SP2023","10246839"
"NEUR149  KS-01 SP2023","20123322"
"NEUR191  PO-04 SP2023","10134639"
"NEUR192  PO-04 SP2023","10186413"
"NEUR196  KS-01 SP2023","20123322"
"PE  005F JP-01 SP2023","30367221"
"PE  008  PO-01 SP2023","10347989"
"PE  008I JP-01 SP2023","30379039"
"PE  012  JP-01 SP2023","30153516"
"PE  012  JP-01 SP2023","20280554"
"PE  015  JP-01 SP2023","30023264"
"PE  018  PO-02 SP2023","10355952"
"PE  022B PO-01 SP2023","10348299"
"PE  025A JP-01 SP2023","20280553"
"PE  027  JP-01 SP2023","30322526"
"PE  039  JP-01 SP2023","30238216"
"PE  039A JP-01 SP2023","30238216"
"PE  046  JP-01 SP2023","30346529"
"PE  048  JP-01 SP2023","30274304"
"PE  048  PO-01 SP2023","10356474"
"PE  059  JP-01 SP2023","30300505"
"PE  076B JP-01 SP2023","30273999"
"PE  084  PO-01 SP2023","10355952"
"PE  107  JP-01 SP2023","30367221"
"PE  127  JP-01 SP2023","30019945"
"PE  130M PO-01 SP2023","10018386"
"PE  150  JP-01 SP2023","30126424"
"PE  155W PO-01 SP2023","10358219"
"PHIL030  CM-04 SP2023","30198176"
"PHIL045  PO-01 SP2023","10364362"
"PHIL101D CM-01 SP2023","30198176"
"PHIL109IOCM-01 SP2023","30360184"
"PHIL144  SC-01 SP2023","20261147"
"PHYS009  PO-01 SP2023","10157706"
"PHYS024  HM-08 SP2023","40221704"
"PHYS024R HM-02 SP2023","40199069"
"PHYS031LXKS-02 SP2023","20042124"
"PHYS054  HM-03 SP2023","40005340"
"PHYS071  PO-02 SP2023","10181284"
"PHYS191  KS-01 SP2023","20042221"
"PHYS191L PO-24 SP2023","10022994"
"POLI152  PO-01 SP2023","10357665"
"POLI191  PO-28 SP2023","10039096"
"PONT100  CM-01 SP2023","30302030"
"PSYC040  CM-01 SP2023","30182032"
"PSYC092  CM-01 SP2023","30384874"
"PSYC104L SC-01 SP2023","20178312"
"PSYC110  SC-01 SP2023","20167620"
"PSYC180B PO-01 SP2023","10353349"
"PSYC197A CM-01 SP2023","30182032"
"PSYC197A CM-07 SP2023","30214075"
"PSYC197B CM-04 SP2023","30293905"
"PSYC197B CM-07 SP2023","30214075"
"RLST117  PO-01 SP2023","10370219"
"RLST146  PO-01 SP2023","10092210"
"SOC 051  PO-02 SP2023","10364498"
"SOC 119  PO-01 SP2023","10209929"
"SOC 128  JT-01 SP2023","30225451"
"SOC 154  PO-01 SP2023","10364498"
"SOC 170  PZ-01 SP2023","50147925"
"SOC 189T PO-01 SP2023","10366467"
"SOC 191  PO-08 SP2023","10085197"
"SPAN033L CM-02 SP2023","30378972"
"SPAN033L CM-02 SP2023","30034894"
"SPAN033L CM-03 SP2023","30203478"
"SPAN101  PO-02 SP2023","10357931"
"STS 191  PO-04 SP2023","10179615"
"TEST001  PZ-01 SP2023","50092605"
"THEA001A PO-02 SP2023","10363029"
"THEA053HIPO-01 SP2023","10358182"
"THEA061  PO-01 SP2023","10028742"
