"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"ASAM191  PO-60 SP2023158506","ASAM191  PO-60 SP2023","0","0","-------"," ARR ","OnCampus"
"ASAM191  PO-64 SP2023161224","ASAM191  PO-64 SP2023","0","0","-------"," ARR ","OnCampus"
"ASIA081  PO-01 SP2023159962","ASIA081  PO-01 SP2023","1100","1150","-M-W-F-","PO CR 02","OnCampus"
"ASIA191  PO-04 SP2023158507","ASIA191  PO-04 SP2023","0","0","-------"," ARR ","OnCampus"
"ASIA192  PO-04 SP2023158509","ASIA192  PO-04 SP2023","0","0","-------"," ARR ","OnCampus"
"ASTR002  PO-01 SP2023159963","ASTR002  PO-01 SP2023","1100","1215","-M-W---","PO ESTE 1051","OnCampus"
"ASTR051  PO-01 SP2023159964","ASTR051  PO-01 SP2023","1315","1430","-M-W---","PO ESTE 1181","OnCampus"
"ASTR051 LPO-01 SP2023159965","ASTR051 LPO-01 SP2023","1900","2150","-M-----","PO BT OBSR","OnCampus"
"ASTR062  HM-01 SP2023156602","ASTR062  HM-01 SP2023","900","950","-M-W-F-","HM SHAN 2450","OnCampus"
"ASTR066L KS-01 SP2023158919","ASTR066L KS-01 SP2023","1100","1215","--T-R--","CU KS B31","OnCampus"
"ASTR066L KS-01 SP2023161101","ASTR066L KS-01 SP2023","1730","1900","----R--","CU KS 1","OnCampus"
"ASTR066L KS-02 SP2023158919","ASTR066L KS-02 SP2023","1100","1215","--T-R--","CU KS B31","OnCampus"
"ASTR066L KS-02 SP2023161102","ASTR066L KS-02 SP2023","1905","2030","----R--","CU KS 1","OnCampus"
"ASTR066L KS-03 SP2023161103","ASTR066L KS-03 SP2023","810","925","--T-R--","CU KS B31","OnCampus"
"ASTR066L KS-03 SP2023161104","ASTR066L KS-03 SP2023","1315","1445","----R--","CU KS 39","OnCampus"
"ASTR066L KS-04 SP2023161103","ASTR066L KS-04 SP2023","810","925","--T-R--","CU KS B31","OnCampus"
"ASTR066L KS-04 SP2023161105","ASTR066L KS-04 SP2023","1450","1615","----R--","CU KS 39","OnCampus"
"ASTR123  PO-01 SP2023159966","ASTR123  PO-01 SP2023","1315","1430","-M-W---","PO ESTE 1249","OnCampus"
"ASTR127  PO-01 SP2023160632","ASTR127  PO-01 SP2023","1315","1430","-M-W---","PO ESTE 1249","OnCampus"
"BIOL001A PO-01 SP2023159967","BIOL001A PO-01 SP2023","1315","1430","--T-R--","PO SCOM 103","OnCampus"
"BIOL007  PO-01 SP2023159968","BIOL007  PO-01 SP2023","900","1200","-M-----","PZ RRC 106","OnCampus"
"BIOL007 LPO-01 SP2023160852","BIOL007 LPO-01 SP2023","900","1200","--T----","PO TBA TBA","OnCampus"
"BIOL007 LPO-02 SP2023160853","BIOL007 LPO-02 SP2023","900","1200","---W---","PO TBA TBA","OnCampus"
"BIOL007 LPO-03 SP2023160854","BIOL007 LPO-03 SP2023","900","1200","----R--","PO TBA TBA","OnCampus"
"BIOL007 LPO-04 SP2023160857","BIOL007 LPO-04 SP2023","900","1200","-----F-","PO TBA TBA","OnCampus"
"BIOL023  HM-01 FA2023161632","BIOL023  HM-01 FA2023","1315","1705","-M-----","HM ON B141","OnCampus"
"BIOL023  HM-01 SP2023156603","BIOL023  HM-01 SP2023","1315","1705","-M-----","HM ON B141","OnCampus"
"BIOL023  HM-02 FA2023161633","BIOL023  HM-02 FA2023","1315","1705","--T----","HM ON B141","OnCampus"
"BIOL023  HM-02 SP2023156604","BIOL023  HM-02 SP2023","1315","1705","--T----","HM ON B141","OnCampus"
"BIOL023  HM-03 FA2023161634","BIOL023  HM-03 FA2023","1315","1705","---W---","HM ON B141","OnCampus"
"BIOL023  HM-03 SP2023156605","BIOL023  HM-03 SP2023","1315","1705","---W---","HM ON B141","OnCampus"
"BIOL023  HM-04 FA2023161635","BIOL023  HM-04 FA2023","1315","1705","----R--","HM ON B141","OnCampus"
"BIOL023  HM-04 SP2023156606","BIOL023  HM-04 SP2023","1315","1705","----R--","HM ON B141","OnCampus"
"BIOL023  HM-05 FA2023161636","BIOL023  HM-05 FA2023","1315","1705","-----F-","HM ON B141","OnCampus"
"BIOL023  HM-05 SP2023156607","BIOL023  HM-05 SP2023","1315","1705","-----F-","HM ON B141","OnCampus"
"BIOL041C PO-01 SP2023159970","BIOL041C PO-01 SP2023","1000","1050","-M-W-F-","PO SCOM 102","OnCampus"
"BIOL041C PO-01 SP2023159972","BIOL041C PO-01 SP2023","1315","1700","-M-----","PO SE 121","OnCampus"
"BIOL041C PO-02 SP2023159974","BIOL041C PO-02 SP2023","1315","1700","---W---","PO SE 121","OnCampus"
"BIOL041C PO-02 SP2023160915","BIOL041C PO-02 SP2023","1100","1150","-M-W-F-","PO SE 52","OnCampus"
"BIOL041C PO-03 SP2023159975","BIOL041C PO-03 SP2023","900","950","-M-W-F-","PO SCOM 104","OnCampus"
"BIOL041C PO-03 SP2023159976","BIOL041C PO-03 SP2023","1315","1700","----R--","PO SE 121","OnCampus"
"BIOL041E PO-01 SP2023159980","BIOL041E PO-01 SP2023","935","1050","--T-R--","PO SCOM 103","OnCampus"
