"permCountExternalId","PermCount"
"ECON051  PO-02 SP2023","39"
"ECON051  PZ-01 SP2023","13"
"ECON051  PZ-02 SP2023","16"
"ECON051  SC-01 SP2023","43"
"ECON052  PO-01 SP2023","47"
"ECON052  PO-02 SP2023","2"
"ECON052  PO-03 SP2023","8"
"ECON052  PO-04 SP2023","32"
"ECON052  PZ-01 SP2023","25"
"ECON052  PZ-02 SP2023","18"
"ECON052  PZ-03 SP2023","23"
"ECON052  SC-01 SP2023","24"
"ECON057  PO-01 SP2023","27"
"ECON057  PO-02 SP2023","10"
"ECON057B PO-01 SP2023","7"
"ECON086  CM-01 SP2023","16"
"ECON086  CM-02 SP2023","11"
"ECON086  CM-03 SP2023","28"
"ECON086  CM-04 SP2023","20"
"ECON086  CM-05 SP2023","17"
"ECON086  CM-06 SP2023","28"
"ECON091  PZ-01 SP2023","24"
"ECON091  PZ-02 SP2023","12"
"ECON100  CM-01 SP2023","7"
"ECON101  CM-01 SP2023","60"
"ECON101  CM-02 SP2023","45"
"ECON101  CM-03 SP2023","23"
"ECON101  CM-04 SP2023","17"
"ECON101  CM-05 SP2023","21"
"ECON101  CM-06 SP2023","23"
"ECON101  CM-07 SP2023","1"
"ECON101  PO-01 SP2023","18"
"ECON101  SC-01 SP2023","12"
"ECON102  CM-01 SP2023","9"
"ECON102  CM-02 SP2023","25"
"ECON102  CM-03 SP2023","25"
"ECON102  CM-04 SP2023","12"
"ECON102  CM-05 SP2023","19"
"ECON102  PO-01 SP2023","2"
"ECON102  SC-01 SP2023","9"
"ECON104  CM-01 SP2023","3"
"ECON105  PZ-01 SP2023","6"
"ECON107  PO-01 SP2023","11"
"ECON107  PO-02 SP2023","5"
"ECON117  PO-01 SP2023","3"
"ECON120  CM-01 SP2023","7"
"ECON120  CM-02 SP2023","4"
"ECON120  CM-03 SP2023","8"
"ECON120  CM-04 SP2023","28"
"ECON120  SC-01 SP2023","23"
"ECON124  PO-01 SP2023","8"
"ECON125  CM-01 SP2023","1"
"ECON125  CM-02 SP2023","1"
"ECON125  CM-03 SP2023","34"
"ECON125  CM-04 SP2023","29"
"ECON125  PO-01 SP2023","9"
"ECON125  PZ-01 SP2023","2"
"ECON126  CM-01 SP2023","1"
"ECON126  CM-02 SP2023","2"
"ECON128  PO-01 SP2023","13"
"ECON129  PO-01 SP2023","16"
"ECON134  CM-01 SP2023","18"
"ECON134  CM-02 SP2023","5"
"ECON134  CM-03 SP2023","15"
"ECON134  CM-04 SP2023","10"
"ECON134  CM-05 SP2023","11"
"ECON134  CM-06 SP2023","9"
"ECON134B CM-01 SP2023","3"
"ECON136  SC-01 SP2023","14"
"ECON140  PZ-01 SP2023","21"
"ECON144  SC-01 SP2023","5"
"ECON145  CM-01 SP2023","17"
"ECON145  PZ-01 SP2023","5"
"ECON151  CM-01 SP2023","2"
"ECON152  PO-01 SP2023","5"
"ECON154  CM-01 SP2023","6"
"ECON154  PO-01 SP2023","13"
"ECON155  CM-01 SP2023","2"
"ECON155  PO-01 SP2023","12"
"ECON160  CM-01 SP2023","2"
"ECON160  CM-02 SP2023","4"
"ECON165  CM-02 SP2023","6"
"ECON170  SC-01 SP2023","28"
"ECON172  CM-01 SP2023","10"
"ECON172  CM-02 SP2023","20"
"ECON175  PZ-01 SP2023","6"
"ECON176  PZ-01 SP2023","8"
"ECON180  CM-01 SP2023","4"
"ECON180  CM-02 SP2023","1"
"ECON181  CM-01 SP2023","9"
"ECON184  SC-01 SP2023","11"
"ECON187  CM-01 SP2023","20"
"ECON187  CM-02 SP2023","29"
"ECON190  PO-02 SP2023","2"
"ECON190  PO-03 SP2023","1"
"ECON190  PO-04 SP2023","1"
"ECON191  CM-01 SP2023","23"
"ECON194B CM-01 SP2023","1"
"ECON195  PO-04 SP2023","32"
"ECON196  CM-01 SP2023","3"
"ECON197SBCM-01 SP2023","12"
"EDUC301G CG-01 SP2023","1"
"EDUC302G CG-01 SP2023","3"
"ENGL010B PZ-01 SP2023","6"
"ENGL023  PO-01 SP2023","51"
"ENGL031  PZ-01 SP2023","15"
"ENGL049  PO-01 SP2023","9"
"ENGL055C PO-01 SP2023","4"
"ENGL064C PO-01 SP2023","26"
"ENGL064D PO-01 SP2023","58"
"ENGL073  PZ-01 SP2023","3"
"ENGL079  PO-01 SP2023","25"
"ENGL086  PO-01 SP2023","7"
"ENGL089A PO-01 SP2023","9"
"ENGL094  PZ-01 SP2023","3"
"ENGL098  PO-01 SP2023","20"
"ENGL102  SC-01 SP2023","50"
"ENGL110  PZ-01 SP2023","14"
"ENGL120  PZ-01 SP2023","30"
"ENGL125C AF-01 SP2023","8"
"ENGL130  PZ-01 SP2023","10"
"ENGL133S SC-01 SP2023","14"
"ENGL135  PZ-01 SP2023","8"
"ENGL145  SC-01 SP2023","31"
"ENGL154  PO-01 SP2023","2"
"ENGL160  PZ-01 SP2023","1"
"ENGL161A PZ-01 SP2023","9"
"ENGL165  PO-01 SP2023","1"
"ENGL170J PO-01 SP2023","12"
"ENGL170R PO-01 SP2023","8"
"ENGL174  SC-01 SP2023","15"
"ENGL180  SC-01 SP2023","10"
"ENGL185  SC-01 SP2023","1"
"ENGL189K PO-01 SP2023","17"
"ENGL191  PO-04 SP2023","1"
"ENGL191  PO-12 SP2023","2"
"ENGL191  PO-24 SP2023","3"
"ENGL191  PO-32 SP2023","2"
"ENGL191  PO-34 SP2023","1"
"ENGL191  PO-44 SP2023","1"
"ENGL193  SC-01 SP2023","9"
"ENGL194  PZ-01 SP2023","7"
"ENGL195  PO-04 SP2023","1"
"ENGL197P SC-01 SP2023","9"
"ENGL197S SC-01 SP2023","4"
"ENGR004  HM-01 SP2023","24"
"ENGR004  HM-02 SP2023","10"
"ENGR004L HM-01 SP2023","14"
"ENGR004L HM-02 SP2023","6"
"ENGR015  HM-01 SP2023","36"
"ENGR025  HM-01 SP2023","1"
"ENGR072  HM-01 SP2023","1"
"ENGR080  HM-01 SP2023","2"
"ENGR080  HM-03 SP2023","1"
"ENGR083  HM-01 SP2023","15"
"ENGR111  HM-01 SP2023","3"
"ENGR113  HM-01 SP2023","2"
"ENGR114  HM-01 SP2023","1"
"ENGR177  HM-01 SP2023","3"
"ENGR180  HM-01 SP2023","34"
"ENGR185B HM-01 SP2023","2"
"ENGR190BAHM-01 SP2023","1"
"ENGR190BFHM-01 SP2023","4"
"ENTR049A HM-01 SP2023","59"
"FGSS036  SC-01 SP2023","23"
"FGSS188F SC-01 SP2023","8"
"FGSS192  SC-01 SP2023","12"
"FHS 010  CM-01 SP2023","38"
"FHS 010  CM-02 SP2023","9"
"FHS 010  CM-03 SP2023","6"
"FHS 010  CM-04 SP2023","1"
"FHS 010  CM-05 SP2023","12"
"FHS 010  CM-06 SP2023","24"
"FHS 010  CM-07 SP2023","2"
"FHS 010  CM-08 SP2023","11"
"FHS 010  CM-09 SP2023","5"
"FHS 010  CM-10 SP2023","6"
"FREN002  SC-02 SP2023","5"
"FREN044  SC-01 SP2023","4"
"FREN100  SC-01 SP2023","1"
"FREN101  PO-01 SP2023","4"
"FREN115  CM-01 SP2023","4"
"FREN187A SC-01 SP2023","2"
"FREN191  PO-04 SP2023","1"
"FREN192  PO-04 SP2023","1"
"FREN193  PO-04 SP2023","1"
"FWS 010  CM-01 SP2023","7"
"FWS 010  CM-02 SP2023","1"
"FWS 010  CM-06 SP2023","27"
"FWS 010  CM-07 SP2023","25"
"FWS 010  CM-08 SP2023","16"
"FWS 010  CM-09 SP2023","3"
"FWS 010  CM-10 SP2023","16"
"FWS 010  CM-11 SP2023","13"
"FWS 010  CM-12 SP2023","7"
"FWS 010  CM-13 SP2023","5"
